address;postal_code;city;url;x;y
Wethouder Rebellaan 134;3771KA;Barneveld;https://www.basic-fit.com/nl-nl/sportschool/basic-fit-barneveld-wethouder-rebellaan-24-7-0fea9d6eb86d41588e33b78c68497486.html;5.5807752;52.1505883
Peppelensteeg 1c;6715CV;Ede;https://www.basic-fit.com/nl-nl/sportschool/basic-fit-ede-peppelensteeg-24-7-e6ddf86b914748d897ff2e7d1b050f63.html;5.644299;52.0368197
Grotestraat 61;6711AJ;Ede;https://www.basic-fit.com/nl-nl/sportschool/basic-fit-ede-grotestraat-281f6000bf724d40a7240bb10b8812fa.html;5.6704736;52.0454381
Wolweg 101;3901GA;Veenendaal;https://www.basic-fit.com/nl-nl/sportschool/basic-fit-veenendaal-wolweg-5d89959f958a41cfb725954767b3f420.html;5.558408;52.0256641
Lageweg 14-16;3815VG;Amersfoort;https://www.basic-fit.com/nl-nl/sportschool/basic-fit-amersfoort-lageweg-d01ce365d9544e7bab5223db6dd0b1c1.html;5.4123209;52.1623612
Ierse Pond 2;3825HK;Amersfoort;https://www.basic-fit.com/nl-nl/sportschool/basic-fit-amersfoort-ierse-pond-b628ec024312459389bce3e9bcf24022.html;5.4129463;52.1889918
Groningerstraat 172;3812EG;Amersfoort;https://www.basic-fit.com/nl-nl/sportschool/basic-fit-amersfoort-groningerstraat-24-7-00024092c35a4dafbaa778000c4f9e58.html;5.3790727;52.1586539
Groningerstraat 172;3812EG;Amersfoort;https://www.basic-fit.com/nl-nl/sportschool/basic-fit-amersfoort-groningerstraat-ladies-10a8213216344b9e9ee0d117df15e1f6.html;5.3790727;52.1586539
Stadsbrink 32-42;6701AL;Wageningen;https://www.basic-fit.com/nl-nl/sportschool/basic-fit-wageningen-stadsbrink-fed66cbcf72547d49619f10fd22d2749.html;5.6676812;51.9689692
Kolbaanweg 3;3845LJ;Harderwijk;https://www.basic-fit.com/nl-nl/sportschool/basic-fit-harderwijk-kolbaanweg-24-7-dec7989e9a3d4b128a17bb43c5ccb1a6.html;5.6120374;52.3224609
Nieuwegracht 4-02;3763LB;Soest;https://www.basic-fit.com/nl-nl/sportschool/basic-fit-soest-nieuwegracht-24-7-5a7bef3dc920411683788f5f650c9df9.html;5.2666882;52.1807462
Voorheuvel 9-11;3701JA;Zeist;https://www.basic-fit.com/nl-nl/sportschool/basic-fit-zeist-voorheuvel-24-7-07daf5cd2f534e5d9e4b9f7ca7608767.html;5.2395671;52.0868562
