address;postal_code;city;url
Wethouder Rebellaan 134;3771KA;Barneveld;https://www.basic-fit.com/nl-nl/sportschool/basic-fit-barneveld-wethouder-rebellaan-24-7-0fea9d6eb86d41588e33b78c68497486.html
Peppelensteeg 1c;6715CV;Ede;https://www.basic-fit.com/nl-nl/sportschool/basic-fit-ede-peppelensteeg-24-7-e6ddf86b914748d897ff2e7d1b050f63.html
Grotestraat 61;6711AJ;Ede;https://www.basic-fit.com/nl-nl/sportschool/basic-fit-ede-grotestraat-281f6000bf724d40a7240bb10b8812fa.html
Wolweg 101;3901GA;Veenendaal;https://www.basic-fit.com/nl-nl/sportschool/basic-fit-veenendaal-wolweg-5d89959f958a41cfb725954767b3f420.html
Lageweg 14-16;3815VG;Amersfoort;https://www.basic-fit.com/nl-nl/sportschool/basic-fit-amersfoort-lageweg-d01ce365d9544e7bab5223db6dd0b1c1.html
Ierse Pond 2;3825HK;Amersfoort;https://www.basic-fit.com/nl-nl/sportschool/basic-fit-amersfoort-ierse-pond-b628ec024312459389bce3e9bcf24022.html
Groningerstraat 172;3812EG;Amersfoort;https://www.basic-fit.com/nl-nl/sportschool/basic-fit-amersfoort-groningerstraat-24-7-00024092c35a4dafbaa778000c4f9e58.html
Groningerstraat 172;3812EG;Amersfoort;https://www.basic-fit.com/nl-nl/sportschool/basic-fit-amersfoort-groningerstraat-ladies-10a8213216344b9e9ee0d117df15e1f6.html
Stadsbrink 32-42;6701AL;Wageningen;https://www.basic-fit.com/nl-nl/sportschool/basic-fit-wageningen-stadsbrink-fed66cbcf72547d49619f10fd22d2749.html
Kolbaanweg 3;3845LJ;Harderwijk;https://www.basic-fit.com/nl-nl/sportschool/basic-fit-harderwijk-kolbaanweg-24-7-dec7989e9a3d4b128a17bb43c5ccb1a6.html
Nieuwegracht 4-02;3763LB;Soest;https://www.basic-fit.com/nl-nl/sportschool/basic-fit-soest-nieuwegracht-24-7-5a7bef3dc920411683788f5f650c9df9.html
Voorheuvel 9-11;3701JA;Zeist;https://www.basic-fit.com/nl-nl/sportschool/basic-fit-zeist-voorheuvel-24-7-07daf5cd2f534e5d9e4b9f7ca7608767.html
Christiaan Geurtsweg 9;7335JV;Apeldoorn;https://www.basic-fit.com/nl-nl/sportschool/basic-fit-apeldoorn-christiaan-geurtsweg-24-7-489f1ea0fc4e45c894b7a680f231fd94.html
Walstraat 76;6811BE;Arnhem;https://www.basic-fit.com/nl-nl/sportschool/basic-fit-arnhem-walstraat-911a471023dc4e5aa2ad4a07bf26f2cf.html
Batavierenweg 25;6841NH;Arnhem;https://www.basic-fit.com/nl-nl/sportschool/basic-fit-arnhem-batavierenweg-24-7-cb46a5cdf3a5468190db3a29c44182a7.html
Ambachtsveld 2;7327AZ;Apeldoorn;https://www.basic-fit.com/nl-nl/sportschool/basic-fit-apeldoorn-ambachtsveld-24-7-55b86c90ce3f4201a813d01ad6967041.html
Kruisboog 10;3994AE;Houten;https://www.basic-fit.com/nl-nl/sportschool/basic-fit-houten-kruisboog-24-7-0464e3a847f841569ee9831fb7e13adb.html
Groningensingel 1043;6835GN;Arnhem;https://www.basic-fit.com/nl-nl/sportschool/basic-fit-arnhem-groningensingel-88c37f50c86047f8a5df96714248818b.html
Herenstraat 36;1211CC;Hilversum;https://www.basic-fit.com/nl-nl/sportschool/basic-fit-hilversum-herenstraat-24-7-8cf50c17e7644214bc33c647dd536fb1.html
Schorpioenstraat 4;7323AK;Apeldoorn;https://www.basic-fit.com/nl-nl/sportschool/basic-fit-apeldoorn-schorpioenstraat-24-7-f0313228855344c5ad4522b6794ed0fa.html
Hanzestraat 278;6826MJ;Arnhem;https://www.basic-fit.com/nl-nl/sportschool/basic-fit-arnhem-hanzestraat-24-7-bb49847c5e9544ceb22061bb3fb7ed1e.html
Herculesplein 375-77;3584AA;Utrecht;https://www.basic-fit.com/nl-nl/sportschool/basic-fit-utrecht-herculesplein-cdd6d923d6684068acde006a73f6b459.html
